UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
15,172.16.3.5,18.8932,1,1024,18.8851,8
15,172.16.3.5,22.8936,2,1024,22.8851,8
15,172.16.3.5,26.8965,3,1024,26.8851,11
15,172.16.3.5,30.901,4,1024,30.8851,15
15,172.16.3.5,32.8861,5,1024,32.8851,1
15,172.16.3.5,34.8862,6,1024,34.8851,1
15,172.16.3.5,36.8862,7,1024,36.8851,1
15,172.16.3.5,38.8862,8,1024,38.8851,1
15,172.16.3.5,40.8862,9,1024,40.8851,1
15,172.16.3.5,42.8861,10,1024,42.8851,1
15,172.16.3.5,44.8861,11,1024,44.8851,1
15,172.16.3.5,46.8861,12,1024,46.8851,1
15,172.16.3.5,48.8861,13,1024,48.8851,1
15,172.16.3.5,50.8861,14,1024,50.8851,1
15,172.16.3.5,52.8861,15,1024,52.8851,1
15,172.16.3.5,54.8862,16,1024,54.8851,1
15,172.16.3.5,56.8862,17,1024,56.8851,1
15,172.16.3.5,58.8861,18,1024,58.8851,1
15,172.16.3.5,60.8862,19,1024,60.8851,1
15,172.16.3.5,62.8861,20,1024,62.8851,1
15,172.16.3.5,64.8862,21,1024,64.8851,1
15,172.16.3.5,66.8861,22,1024,66.8851,1
15,172.16.3.5,68.8862,23,1024,68.8851,1
15,172.16.3.5,70.8861,24,1024,70.8851,1
15,172.16.3.5,72.8862,25,1024,72.8851,1
15,172.16.3.5,74.8861,26,1024,74.8851,1
15,172.16.3.5,76.8861,27,1024,76.8851,1
15,172.16.3.5,78.8861,28,1024,78.8851,1
15,172.16.3.5,80.8861,29,1024,80.8851,1
15,172.16.3.5,80.9261,30,1024,80.9251,1
15,172.16.3.5,80.9661,31,1024,80.9651,1
15,172.16.3.5,81.0062,32,1024,81.0051,1
15,172.16.3.5,81.0461,33,1024,81.0451,1
15,172.16.3.5,81.0862,34,1024,81.0851,1
15,172.16.3.5,81.1262,35,1024,81.1251,1
15,172.16.3.5,81.1661,36,1024,81.1651,1
15,172.16.3.5,81.2061,37,1024,81.2051,1
15,172.16.3.5,81.2461,38,1024,81.2451,1
15,172.16.3.5,81.2862,39,1024,81.2851,1
15,172.16.3.5,81.3262,40,1024,81.3251,1
15,172.16.3.5,81.3662,41,1024,81.3651,1
15,172.16.3.5,81.4061,42,1024,81.4051,1
15,172.16.3.5,81.4461,43,1024,81.4451,1
15,172.16.3.5,81.4862,44,1024,81.4851,1
15,172.16.3.5,81.5262,45,1024,81.5251,1
15,172.16.3.5,81.5661,46,1024,81.5651,1
15,172.16.3.5,81.6061,47,1024,81.6051,1
15,172.16.3.5,81.6468,48,1024,81.6451,1
15,172.16.3.5,81.6861,49,1024,81.6851,1
15,172.16.3.5,81.7262,50,1024,81.7251,1
15,172.16.3.5,81.7662,51,1024,81.7651,1
15,172.16.3.5,81.8061,52,1024,81.8051,1
15,172.16.3.5,81.8461,53,1024,81.8451,1
15,172.16.3.5,81.8861,54,1024,81.8851,1
15,172.16.3.5,81.9261,55,1024,81.9251,1
15,172.16.3.5,81.9661,56,1024,81.9651,1
15,172.16.3.5,82.0062,57,1024,82.0051,1
15,172.16.3.5,82.0461,58,1024,82.0451,1
15,172.16.3.5,82.0861,59,1024,82.0851,1
15,172.16.3.5,82.1262,60,1024,82.1251,1
15,172.16.3.5,82.1661,61,1024,82.1651,1
15,172.16.3.5,82.2066,62,1024,82.2051,1
15,172.16.3.5,82.2461,63,1024,82.2451,1
15,172.16.3.5,82.2861,64,1024,82.2851,1
15,172.16.3.5,82.3261,65,1024,82.3251,1
15,172.16.3.5,82.3661,66,1024,82.3651,1
15,172.16.3.5,82.4061,67,1024,82.4051,1
15,172.16.3.5,82.4461,68,1024,82.4451,1
15,172.16.3.5,82.4862,69,1024,82.4851,1
15,172.16.3.5,82.5262,70,1024,82.5251,1
15,172.16.3.5,82.5662,71,1024,82.5651,1
15,172.16.3.5,82.6061,72,1024,82.6051,1
15,172.16.3.5,82.6462,73,1024,82.6451,1
15,172.16.3.5,82.6862,74,1024,82.6851,1
15,172.16.3.5,82.7261,75,1024,82.7251,1
15,172.16.3.5,82.7661,76,1024,82.7651,1
15,172.16.3.5,82.8061,77,1024,82.8051,1
15,172.16.3.5,82.8461,78,1024,82.8451,1
15,172.16.3.5,82.8862,79,1024,82.8851,1
15,172.16.3.5,82.9262,80,1024,82.9251,1
15,172.16.3.5,82.9661,81,1024,82.9651,1
15,172.16.3.5,83.0062,82,1024,83.0051,1
15,172.16.3.5,83.0462,83,1024,83.0451,1
15,172.16.3.5,83.0861,84,1024,83.0851,1
15,172.16.3.5,83.1261,85,1024,83.1251,1
15,172.16.3.5,83.1662,86,1024,83.1651,1
15,172.16.3.5,83.2062,87,1024,83.2051,1
15,172.16.3.5,83.2461,88,1024,83.2451,1
15,172.16.3.5,83.2862,89,1024,83.2851,1
15,172.16.3.5,83.3262,90,1024,83.3251,1
15,172.16.3.5,83.3662,91,1024,83.3651,1
15,172.16.3.5,83.4062,92,1024,83.4051,1
15,172.16.3.5,83.4462,93,1024,83.4451,1
15,172.16.3.5,83.4861,94,1024,83.4851,1
15,172.16.3.5,83.5262,95,1024,83.5251,1
15,172.16.3.5,83.5661,96,1024,83.5651,1
15,172.16.3.5,83.6062,97,1024,83.6051,1
15,172.16.3.5,83.6462,98,1024,83.6451,1
15,172.16.3.5,83.6862,99,1024,83.6851,1
15,172.16.3.5,83.7261,100,1024,83.7251,1
15,172.16.3.5,83.7662,101,1024,83.7651,1
15,172.16.3.5,83.8061,102,1024,83.8051,1
15,172.16.3.5,83.8462,103,1024,83.8451,1
15,172.16.3.5,83.8863,104,1024,83.8851,1
15,172.16.3.5,83.9262,105,1024,83.9251,1
15,172.16.3.5,83.9661,106,1024,83.9651,1
15,172.16.3.5,84.0061,107,1024,84.0051,1
15,172.16.3.5,84.0462,108,1024,84.0451,1
15,172.16.3.5,84.0862,109,1024,84.0851,1
15,172.16.3.5,84.1262,110,1024,84.1251,1
