Simulation Second,Receive Rate[kbps],Packets Received in 4,Byte Received Total,Packets Received Total,Packets Sent in 4,Packets Loss Rate 
0,0,0,0,0,0,-nan
4,0,0,0,0,0,-nan
8,0,0,0,0,0,-nan
12,0,0,0,0,0,-nan
16,20,10,10240,10,20,0.5
20,24,12,22528,22,20,0.6
24,24,12,34816,34,20,0.6
28,24,12,47104,46,20,0.6
32,244,122,172032,168,152,0.802632
36,636,318,497664,486,386,0.823834
40,632,316,821248,802,386,0.818653
44,624,312,1140736,1114,386,0.80829
48,622,311,1459200,1425,386,0.805699
52,432,216,1680384,1641,386,0.559585
56,414,207,1892352,1848,386,0.536269
60,414,207,2104320,2055,386,0.536269
64,428,214,2323456,2269,386,0.554404
68,436,218,2546688,2487,386,0.564767
72,436,218,2769920,2705,386,0.564767
76,436,218,2993152,2923,386,0.564767
80,288,144,3140608,3067,386,0.373057
84,1576,788,3947520,3855,1847,0.426638
88,1436,718,4682752,4573,2000,0.359
92,1738,869,5572608,5442,2000,0.4345
96,1800,900,6494208,6342,2000,0.45
