UE_id,From_Address,Sequence num,Parket size[byte],Sent time[s],Dest IP,Packet Total
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.0031,02-07-ac:10:00:02:09:00:00,1
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.1399,02-07-ac:10:00:02:09:00:00,2
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.1437,02-07-ac:10:00:02:09:00:00,3
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.1823,02-07-ac:10:00:02:09:00:00,4
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.2319,02-07-ac:10:00:02:09:00:00,5
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.2435,02-07-ac:10:00:02:09:00:00,6
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.2474,02-07-ac:10:00:02:09:00:00,7
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.2585,02-07-ac:10:00:02:09:00:00,8
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.2602,02-07-ac:10:00:02:09:00:00,9
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.3372,02-07-ac:10:00:02:09:00:00,10
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.4291,02-07-ac:10:00:02:09:00:00,11
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.4773,02-07-ac:10:00:02:09:00:00,12
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.4936,02-07-ac:10:00:02:09:00:00,13
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.5899,02-07-ac:10:00:02:09:00:00,14
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.6349,02-07-ac:10:00:02:09:00:00,15
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.8663,02-07-ac:10:00:02:09:00:00,16
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.8851,02-07-ac:10:00:02:09:00:00,17
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.9028,02-07-ac:10:00:02:09:00:00,18
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.914,02-07-ac:10:00:02:09:00:00,19
9999,02-07-00:00:00:00:01:c0:00,0,1024,14.9874,02-07-ac:10:00:02:09:00:00,20
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.0031,02-07-ac:10:00:02:09:00:00,21
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.1399,02-07-ac:10:00:02:09:00:00,22
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.1437,02-07-ac:10:00:02:09:00:00,23
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.1823,02-07-ac:10:00:02:09:00:00,24
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.2319,02-07-ac:10:00:02:09:00:00,25
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.2435,02-07-ac:10:00:02:09:00:00,26
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.2474,02-07-ac:10:00:02:09:00:00,27
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.2585,02-07-ac:10:00:02:09:00:00,28
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.2602,02-07-ac:10:00:02:09:00:00,29
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.3372,02-07-ac:10:00:02:09:00:00,30
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.4291,02-07-ac:10:00:02:09:00:00,31
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.4773,02-07-ac:10:00:02:09:00:00,32
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.4936,02-07-ac:10:00:02:09:00:00,33
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.5899,02-07-ac:10:00:02:09:00:00,34
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.6349,02-07-ac:10:00:02:09:00:00,35
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.8663,02-07-ac:10:00:02:09:00:00,36
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.8851,02-07-ac:10:00:02:09:00:00,37
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.9028,02-07-ac:10:00:02:09:00:00,38
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.914,02-07-ac:10:00:02:09:00:00,39
9999,02-07-00:00:00:00:01:c0:00,1,1024,18.9874,02-07-ac:10:00:02:09:00:00,40
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.0031,02-07-ac:10:00:02:09:00:00,41
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.1399,02-07-ac:10:00:02:09:00:00,42
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.1437,02-07-ac:10:00:02:09:00:00,43
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.1823,02-07-ac:10:00:02:09:00:00,44
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.2319,02-07-ac:10:00:02:09:00:00,45
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.2435,02-07-ac:10:00:02:09:00:00,46
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.2474,02-07-ac:10:00:02:09:00:00,47
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.2585,02-07-ac:10:00:02:09:00:00,48
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.2602,02-07-ac:10:00:02:09:00:00,49
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.3372,02-07-ac:10:00:02:09:00:00,50
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.4291,02-07-ac:10:00:02:09:00:00,51
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.4773,02-07-ac:10:00:02:09:00:00,52
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.4936,02-07-ac:10:00:02:09:00:00,53
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.5899,02-07-ac:10:00:02:09:00:00,54
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.6349,02-07-ac:10:00:02:09:00:00,55
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.8663,02-07-ac:10:00:02:09:00:00,56
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.8851,02-07-ac:10:00:02:09:00:00,57
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.9028,02-07-ac:10:00:02:09:00:00,58
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.914,02-07-ac:10:00:02:09:00:00,59
9999,02-07-00:00:00:00:01:c0:00,2,1024,22.9874,02-07-ac:10:00:02:09:00:00,60
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.0031,02-07-ac:10:00:02:09:00:00,61
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.1399,02-07-ac:10:00:02:09:00:00,62
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.1437,02-07-ac:10:00:02:09:00:00,63
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.1823,02-07-ac:10:00:02:09:00:00,64
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.2319,02-07-ac:10:00:02:09:00:00,65
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.2435,02-07-ac:10:00:02:09:00:00,66
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.2474,02-07-ac:10:00:02:09:00:00,67
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.2585,02-07-ac:10:00:02:09:00:00,68
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.2602,02-07-ac:10:00:02:09:00:00,69
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.3372,02-07-ac:10:00:02:09:00:00,70
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.4291,02-07-ac:10:00:02:09:00:00,71
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.4773,02-07-ac:10:00:02:09:00:00,72
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.4936,02-07-ac:10:00:02:09:00:00,73
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.5899,02-07-ac:10:00:02:09:00:00,74
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.6349,02-07-ac:10:00:02:09:00:00,75
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.8663,02-07-ac:10:00:02:09:00:00,76
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.8851,02-07-ac:10:00:02:09:00:00,77
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.9028,02-07-ac:10:00:02:09:00:00,78
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.914,02-07-ac:10:00:02:09:00:00,79
9999,02-07-00:00:00:00:01:c0:00,3,1024,26.9874,02-07-ac:10:00:02:09:00:00,80
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.0031,02-07-ac:10:00:02:09:00:00,81
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.1399,02-07-ac:10:00:02:09:00:00,82
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.1437,02-07-ac:10:00:02:09:00:00,83
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.1823,02-07-ac:10:00:02:09:00:00,84
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.2319,02-07-ac:10:00:02:09:00:00,85
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.2435,02-07-ac:10:00:02:09:00:00,86
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.2474,02-07-ac:10:00:02:09:00:00,87
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.2585,02-07-ac:10:00:02:09:00:00,88
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.2602,02-07-ac:10:00:02:09:00:00,89
9999,02-07-00:00:00:00:01:c0:00,5,1024,30.3274,02-07-ac:10:00:02:09:00:00,90
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.3372,02-07-ac:10:00:02:09:00:00,91
9999,02-07-00:00:00:00:01:c0:00,5,1024,30.3772,02-07-ac:10:00:02:09:00:00,92
9999,02-07-00:00:00:00:01:c0:00,6,1024,30.4074,02-07-ac:10:00:02:09:00:00,93
9999,02-07-00:00:00:00:01:c0:00,6,1024,30.4172,02-07-ac:10:00:02:09:00:00,94
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.4291,02-07-ac:10:00:02:09:00:00,95
9999,02-07-00:00:00:00:01:c0:00,7,1024,30.4572,02-07-ac:10:00:02:09:00:00,96
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.4773,02-07-ac:10:00:02:09:00:00,97
9999,02-07-00:00:00:00:01:c0:00,7,1024,30.4874,02-07-ac:10:00:02:09:00:00,98
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.4936,02-07-ac:10:00:02:09:00:00,99
9999,02-07-00:00:00:00:01:c0:00,8,1024,30.4972,02-07-ac:10:00:02:09:00:00,100
9999,02-07-00:00:00:00:01:c0:00,5,1024,30.5091,02-07-ac:10:00:02:09:00:00,101
9999,02-07-00:00:00:00:01:c0:00,9,1024,30.5372,02-07-ac:10:00:02:09:00:00,102
9999,02-07-00:00:00:00:01:c0:00,8,1024,30.5674,02-07-ac:10:00:02:09:00:00,103
9999,02-07-00:00:00:00:01:c0:00,10,1024,30.5772,02-07-ac:10:00:02:09:00:00,104
9999,02-07-00:00:00:00:01:c0:00,6,1024,30.5891,02-07-ac:10:00:02:09:00:00,105
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.5899,02-07-ac:10:00:02:09:00:00,106
9999,02-07-00:00:00:00:01:c0:00,11,1024,30.6172,02-07-ac:10:00:02:09:00:00,107
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.6349,02-07-ac:10:00:02:09:00:00,108
9999,02-07-00:00:00:00:01:c0:00,9,1024,30.6474,02-07-ac:10:00:02:09:00:00,109
9999,02-07-00:00:00:00:01:c0:00,12,1024,30.6572,02-07-ac:10:00:02:09:00:00,110
9999,02-07-00:00:00:00:01:c0:00,7,1024,30.6691,02-07-ac:10:00:02:09:00:00,111
9999,02-07-00:00:00:00:01:c0:00,13,1024,30.6972,02-07-ac:10:00:02:09:00:00,112
9999,02-07-00:00:00:00:01:c0:00,5,1024,30.7149,02-07-ac:10:00:02:09:00:00,113
9999,02-07-00:00:00:00:01:c0:00,10,1024,30.7274,02-07-ac:10:00:02:09:00:00,114
9999,02-07-00:00:00:00:01:c0:00,14,1024,30.7372,02-07-ac:10:00:02:09:00:00,115
9999,02-07-00:00:00:00:01:c0:00,8,1024,30.7491,02-07-ac:10:00:02:09:00:00,116
9999,02-07-00:00:00:00:01:c0:00,15,1024,30.7772,02-07-ac:10:00:02:09:00:00,117
9999,02-07-00:00:00:00:01:c0:00,6,1024,30.7949,02-07-ac:10:00:02:09:00:00,118
9999,02-07-00:00:00:00:01:c0:00,11,1024,30.8074,02-07-ac:10:00:02:09:00:00,119
9999,02-07-00:00:00:00:01:c0:00,16,1024,30.8172,02-07-ac:10:00:02:09:00:00,120
9999,02-07-00:00:00:00:01:c0:00,9,1024,30.8291,02-07-ac:10:00:02:09:00:00,121
9999,02-07-00:00:00:00:01:c0:00,17,1024,30.8572,02-07-ac:10:00:02:09:00:00,122
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.8663,02-07-ac:10:00:02:09:00:00,123
9999,02-07-00:00:00:00:01:c0:00,7,1024,30.8749,02-07-ac:10:00:02:09:00:00,124
9999,02-07-00:00:00:00:01:c0:00,4,1024,30.8851,02-07-ac:10:00:02:09:00:00,125
9999,02-07-00:00:00:00:01:c0:00,12,1024,30.8874,02-07-ac:10:00:02:09:00:00,126
9999,02-07-00:00:00:00:01:c0:00,18,1024,30.8972,02-07-ac:10:00:02:09:00:00,127
