Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.10,243.881:251.074:0,9,1,2048bps
0.1,3,172.16.3.10,244.003:251.232:0,9,1,2048bps
0.2,3,172.16.3.10,244.126:251.39:0,9,1,2048bps
0.3,3,172.16.3.10,244.249:251.548:0,9,1,2048bps
0.4,3,172.16.3.10,244.371:251.706:0,9,1,2048bps
0.5,3,172.16.3.10,244.494:251.864:0,9,1,2048bps
0.6,3,172.16.3.10,244.617:252.022:0,9,1,2048bps
0.7,3,172.16.3.10,244.74:252.18:0,9,1,2048bps
0.8,3,172.16.3.10,244.862:252.338:0,9,1,2048bps
0.9,3,172.16.3.10,244.985:252.496:0,9,1,2048bps
1,3,172.16.3.10,245.108:252.654:0,9,1,2048bps
1.1,3,172.16.3.10,245.23:252.812:0,9,1,2048bps
1.2,3,172.16.3.10,245.353:252.97:0,9,1,2048bps
