Waf: Entering directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
[2710/2769] Compiling scratch/scenario/scenario.cc
[2728/2769] Linking build/scratch/scenario/scenario
Waf: Leaving directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (21.709s)
Start!
Setting Route Protocol: AODV for adhoc
Setting UAVs Topo for AP & Adhoc
Set 4 UAV in the position of center in construction site
15.3693 5 received one packet from 172.16.1.8
15.6156 5 received one packet from 172.16.1.8
15.8657 5 received one packet from 172.16.1.8
15.9154 6 received one packet from 172.16.1.9
16.1157 5 received one packet from 172.16.1.8
16.1639 6 received one packet from 172.16.1.9
16.3657 5 received one packet from 172.16.1.8
16.4139 6 received one packet from 172.16.1.9
16.6157 5 received one packet from 172.16.1.8
16.6639 6 received one packet from 172.16.1.9
16.8656 5 received one packet from 172.16.1.8
16.9138 6 received one packet from 172.16.1.9
17.127 5 received one packet from 172.16.1.8
17.1774 6 received one packet from 172.16.1.9
17.3657 5 received one packet from 172.16.1.8
17.4139 6 received one packet from 172.16.1.9
17.6157 5 received one packet from 172.16.1.8
17.6638 6 received one packet from 172.16.1.9
17.8656 5 received one packet from 172.16.1.8
17.9139 6 received one packet from 172.16.1.9
18.1157 5 received one packet from 172.16.1.8
18.1639 6 received one packet from 172.16.1.9
18.3657 5 received one packet from 172.16.1.8
18.4139 6 received one packet from 172.16.1.9
18.6157 5 received one packet from 172.16.1.8
18.6638 6 received one packet from 172.16.1.9
18.8657 5 received one packet from 172.16.1.8
18.9139 6 received one packet from 172.16.1.9
19.1157 5 received one packet from 172.16.1.8
19.164 6 received one packet from 172.16.1.9
19.3657 5 received one packet from 172.16.1.8
19.4138 6 received one packet from 172.16.1.9
19.6157 5 received one packet from 172.16.1.8
19.6638 6 received one packet from 172.16.1.9
19.8657 5 received one packet from 172.16.1.8
19.9139 6 received one packet from 172.16.1.9
20.1156 5 received one packet from 172.16.1.8
20.1638 6 received one packet from 172.16.1.9
20.3656 5 received one packet from 172.16.1.8
20.4139 6 received one packet from 172.16.1.9
20.6156 5 received one packet from 172.16.1.8
20.6639 6 received one packet from 172.16.1.9
20.8657 5 received one packet from 172.16.1.8
20.9138 6 received one packet from 172.16.1.9
21.1156 5 received one packet from 172.16.1.8
21.1638 6 received one packet from 172.16.1.9
21.3657 5 received one packet from 172.16.1.8
21.4138 6 received one packet from 172.16.1.9
21.6157 5 received one packet from 172.16.1.8
21.6639 6 received one packet from 172.16.1.9
21.8657 5 received one packet from 172.16.1.8
21.9139 6 received one packet from 172.16.1.9
22.1157 5 received one packet from 172.16.1.8
22.1639 6 received one packet from 172.16.1.9
22.3657 5 received one packet from 172.16.1.8
22.4138 6 received one packet from 172.16.1.9
22.6157 5 received one packet from 172.16.1.8
22.6639 6 received one packet from 172.16.1.9
22.8656 5 received one packet from 172.16.1.8
22.9138 6 received one packet from 172.16.1.9
23.1157 5 received one packet from 172.16.1.8
23.1639 6 received one packet from 172.16.1.9
23.3656 5 received one packet from 172.16.1.8
23.4139 6 received one packet from 172.16.1.9
23.6156 5 received one packet from 172.16.1.8
23.6638 6 received one packet from 172.16.1.9
23.8657 5 received one packet from 172.16.1.8
23.9138 6 received one packet from 172.16.1.9
24.1157 5 received one packet from 172.16.1.8
24.1639 6 received one packet from 172.16.1.9
24.3656 5 received one packet from 172.16.1.8
24.4138 6 received one packet from 172.16.1.9
24.6156 5 received one packet from 172.16.1.8
24.6639 6 received one packet from 172.16.1.9
24.8656 5 received one packet from 172.16.1.8
24.9138 6 received one packet from 172.16.1.9
25.1157 5 received one packet from 172.16.1.8
25.1639 6 received one packet from 172.16.1.9
25.3657 5 received one packet from 172.16.1.8
25.4139 6 received one packet from 172.16.1.9
25.6157 5 received one packet from 172.16.1.8
25.6639 6 received one packet from 172.16.1.9
25.8657 5 received one packet from 172.16.1.8
25.9138 6 received one packet from 172.16.1.9
26.1157 5 received one packet from 172.16.1.8
26.1639 6 received one packet from 172.16.1.9
26.3657 5 received one packet from 172.16.1.8
26.4138 6 received one packet from 172.16.1.9
26.6156 5 received one packet from 172.16.1.8
26.6638 6 received one packet from 172.16.1.9
26.8656 5 received one packet from 172.16.1.8
26.9191 6 received one packet from 172.16.1.9
27.1264 5 received one packet from 172.16.1.8
27.1639 6 received one packet from 172.16.1.9
27.3656 5 received one packet from 172.16.1.8
27.4138 6 received one packet from 172.16.1.9
27.6157 5 received one packet from 172.16.1.8
