Waf: Entering directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
[2710/2769] Compiling scratch/scenario/nodehelper.cc
[2736/2769] Linking build/scratch/scenario/scenario
Waf: Leaving directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (19.233s)
Start!
Setting Route Protocol: AODV for adhoc
Setting UAVs Topo for AP & Adhoc
Set 4 UAV in the position of center in construction site
15.1293 5 received one packet from 172.16.1.8
15.1324 5 received one packet from 172.16.1.8
15.1412 5 received one packet from 172.16.1.8
15.146 5 received one packet from 172.16.1.8
15.1497 5 received one packet from 172.16.1.8
15.1555 5 received one packet from 172.16.1.8
15.1603 5 received one packet from 172.16.1.8
15.1651 5 received one packet from 172.16.1.8
15.1692 5 received one packet from 172.16.1.8
15.1724 5 received one packet from 172.16.1.8
15.1766 5 received one packet from 172.16.1.8
15.1812 5 received one packet from 172.16.1.8
15.1873 5 received one packet from 172.16.1.8
15.192 5 received one packet from 172.16.1.8
15.1972 5 received one packet from 172.16.1.8
15.2017 5 received one packet from 172.16.1.8
15.2057 5 received one packet from 172.16.1.8
15.211 5 received one packet from 172.16.1.8
15.2163 5 received one packet from 172.16.1.8
15.2208 5 received one packet from 172.16.1.8
15.2263 5 received one packet from 172.16.1.8
15.2311 5 received one packet from 172.16.1.8
15.2351 5 received one packet from 172.16.1.8
15.2417 5 received one packet from 172.16.1.8
15.2465 5 received one packet from 172.16.1.8
15.252 5 received one packet from 172.16.1.8
15.2568 5 received one packet from 172.16.1.8
15.2604 5 received one packet from 172.16.1.8
15.2664 5 received one packet from 172.16.1.8
15.2744 5 received one packet from 172.16.1.8
15.2796 5 received one packet from 172.16.1.8
15.2869 5 received one packet from 172.16.1.8
15.2891 5 received one packet from 172.16.1.8
15.294 5 received one packet from 172.16.1.8
15.2999 5 received one packet from 172.16.1.8
15.3051 5 received one packet from 172.16.1.8
15.3091 5 received one packet from 172.16.1.8
15.3131 5 received one packet from 172.16.1.8
15.3181 5 received one packet from 172.16.1.8
15.322 5 received one packet from 172.16.1.8
15.3274 5 received one packet from 172.16.1.8
15.3339 5 received one packet from 172.16.1.8
15.3404 5 received one packet from 172.16.1.8
15.3487 5 received one packet from 172.16.1.8
15.3522 5 received one packet from 172.16.1.8
15.3568 5 received one packet from 172.16.1.8
15.3614 5 received one packet from 172.16.1.8
15.3671 5 received one packet from 172.16.1.8
15.3722 5 received one packet from 172.16.1.8
15.3772 5 received one packet from 172.16.1.8
15.3811 5 received one packet from 172.16.1.8
